feature	param0_importance	param1_importance	Category8	Category6
GO:0045324	0	0	GO_terms	GO_terms
GO:0045333	0	0	GO_terms	GO_terms
GO:0045471	0	0	GO_terms	GO_terms
GO:0045807	0	0	GO_terms	GO_terms
GO:0045861	0	0	GO_terms	GO_terms
GO:0045899	0	0	GO_terms	GO_terms
GO:0045945	0	0	GO_terms	GO_terms
GO:0046034	0	0	GO_terms	GO_terms
GO:0046168	0	0	GO_terms	GO_terms
GO:0046496	0	0	GO_terms	GO_terms
GO:0046872	0.00323337655827635	0.00014286975782752	GO_terms	GO_terms
GO:0046933	0	0	GO_terms	GO_terms
GO:0046961	0	0	GO_terms	GO_terms
GO:0046982	0	0	GO_terms	GO_terms
GO:0047952	0	0	GO_terms	GO_terms
GO:0048194	0	0	GO_terms	GO_terms
GO:0048250	0	0	GO_terms	GO_terms
GO:0050660	0	0	GO_terms	GO_terms
GO:0051082	0	0	GO_terms	GO_terms
GO:0051219	0	0	GO_terms	GO_terms
GO:0051287	0	0	GO_terms	GO_terms
GO:0051321	0	0	GO_terms	GO_terms
GO:0051603	0	0	GO_terms	GO_terms
GO:0052718	0	0	GO_terms	GO_terms
GO:0055085	0	0	GO_terms	GO_terms
GO:0055129	0	0	GO_terms	GO_terms
GO:0060178	0	0	GO_terms	GO_terms
GO:0060237	0	0	GO_terms	GO_terms
GO:0060566	0	0	GO_terms	GO_terms
GO:0060962	0	0	GO_terms	GO_terms
GO:0061024	0	0	GO_terms	GO_terms
GO:0061133	0	0	GO_terms	GO_terms
GO:0061630	0	0	GO_terms	GO_terms
GO:0061631	0	0	GO_terms	GO_terms
GO:0061668	0	0	GO_terms	GO_terms
GO:0061709	0	0	GO_terms	GO_terms
GO:0061982	0	0	GO_terms	GO_terms
GO:0070130	0	0	GO_terms	GO_terms
GO:0070180	0	0	GO_terms	GO_terms
GO:0070403	0	0	GO_terms	GO_terms
GO:0070475	0	0	GO_terms	GO_terms
GO:0070545	0	0	GO_terms	GO_terms
GO:0070588	0	0	GO_terms	GO_terms
GO:0070966	0	0	GO_terms	GO_terms
GO:0071014	0	0	GO_terms	GO_terms
GO:0071021	0	0	GO_terms	GO_terms
GO:0071465	0	0	GO_terms	GO_terms
GO:0071618	0	0	GO_terms	GO_terms
GO:0071913	0	0	GO_terms	GO_terms
GO:0071944	0.00047531273732511	0	GO_terms	GO_terms
GO:0071988	0	0	GO_terms	GO_terms
GO:0072488	0	0	GO_terms	GO_terms
GO:0072527	0	0	GO_terms	GO_terms
GO:0072657	0	0	GO_terms	GO_terms
GO:0072671	0	0	GO_terms	GO_terms
GO:0080090	0	0	GO_terms	GO_terms
GO:0090153	0	0	GO_terms	GO_terms
GO:0090334	0	0	GO_terms	GO_terms
GO:0097051	0	0	GO_terms	GO_terms
GO:0097466	0	0	GO_terms	GO_terms
GO:0097550	0	0	GO_terms	GO_terms
GO:0097718	0	0	GO_terms	GO_terms
GO:0097753	0	0	GO_terms	GO_terms
GO:0098734	0	0	GO_terms	GO_terms
GO:0106055	0	0	GO_terms	GO_terms
GO:0106310	0	0	GO_terms	GO_terms
GO:0110131	0	0	GO_terms	GO_terms
GO:0120114	0	0	GO_terms	GO_terms
GO:0120174	0	0	GO_terms	GO_terms
GO:0120542	0	0	GO_terms	GO_terms
GO:0140624	0	0	GO_terms	GO_terms
GO:0140662	0	0	GO_terms	GO_terms
GO:0141152	0	0	GO_terms	GO_terms
GO:0180047	0	0	GO_terms	GO_terms
GO:1900103	0	0	GO_terms	GO_terms
GO:1901607	0	0	GO_terms	GO_terms
GO:1902495	0	0	GO_terms	GO_terms
GO:1902600	0	0	GO_terms	GO_terms
GO:1902626	0	0	GO_terms	GO_terms
GO:1902975	0.00018071931874394	0	GO_terms	GO_terms
GO:1903466	0	0	GO_terms	GO_terms
GO:1903778	0	0	GO_terms	GO_terms
GO:1904679	0	0	GO_terms	GO_terms
GO:1990131	0	0	GO_terms	GO_terms
GO:1990145	0	0	GO_terms	GO_terms
GO:1990174	0	0	GO_terms	GO_terms
GO:1990328	0	0	GO_terms	GO_terms
GO:1990362	0	0	GO_terms	GO_terms
GO:1990816	0	0	GO_terms	GO_terms
GO:1990825	0	0	GO_terms	GO_terms
GO:1990846	0	0	GO_terms	GO_terms
GO:1990856	0	0	GO_terms	GO_terms
